metric,k,delta_type,delta_param,delta,p_tost,p_tost_holm,equivalent
MRR@25,25,absolute,0.0500000000,0.0500000000,0.0562356927,0.2249427707,false
MRR@50,50,absolute,0.0500000000,0.0500000000,0.0562356927,0.2249427707,false
MRR@100,100,absolute,0.0500000000,0.0500000000,0.0576889066,0.2249427707,false
MRR@10,10,relative,0.0250000000,0.0161888500,0.6879772378,1.0000000000,false
MRR@25,25,relative,0.0250000000,0.0162662000,0.6541505898,1.0000000000,false
MRR@50,50,relative,0.0250000000,0.0162662000,0.6541505898,1.0000000000,false
MRR@100,100,relative,0.0250000000,0.0162662000,0.6592086730,1.0000000000,false
MRR@10,10,relative,0.0500000000,0.0323777000,0.3211011786,1.0000000000,false
MRR@25,25,relative,0.0500000000,0.0325324000,0.2847105093,1.0000000000,false
MRR@50,50,relative,0.0500000000,0.0325324000,0.2847105093,1.0000000000,false
MRR@100,100,relative,0.0500000000,0.0325324000,0.2892892793,1.0000000000,false
MRR@10,10,relative,0.1000000000,0.0647554000,0.0103936773,0.0303828916,true
MRR@25,25,relative,0.1000000000,0.0650648000,0.0075957229,0.0303828916,true
MRR@50,50,relative,0.1000000000,0.0650648000,0.0075957229,0.0303828916,true
MRR@100,100,relative,0.1000000000,0.0650648000,0.0078470541,0.0303828916,true
P@10,10,absolute,0.0100000000,0.0100000000,0.4018162658,0.4018162658,false
P@25,25,absolute,0.0100000000,0.0100000000,0.1277626420,0.2555252839,false
P@50,50,absolute,0.0100000000,0.0100000000,0.0075629424,0.0226888272,true
P@100,100,absolute,0.0100000000,0.0100000000,0.0000495596,0.0001982382,true
P@10,10,absolute,0.0200000000,0.0200000000,0.0700153093,0.0700153093,false
P@25,25,absolute,0.0200000000,0.0200000000,0.0052072235,0.0104144470,true
P@50,50,absolute,0.0200000000,0.0200000000,0.0000010420,0.0000031260,true
P@100,100,absolute,0.0200000000,0.0200000000,1.331374909119093e-11,0.0000000001,true
P@10,10,absolute,0.0300000000,0.0300000000,0.0041623990,0.0041623990,true
P@25,25,absolute,0.0300000000,0.0300000000,0.0000602789,0.0001205578,true
P@50,50,absolute,0.0300000000,0.0300000000,4.110696701478895e-11,0.0000000001,true
